District,Rooms,Price
Bucak / Merkez,2+1,12.000 TL
Bucak / Merkez,2+1,11.000 TL
Merkez / Yenice,1+1,12.000 TL
Bucak / Merkez,2+1,9.000 TL
Merkez / Bahçelievler,2+0,12.000 TL
Merkez / Bahçelievler,2+0,12.000 TL
Merkez / Bahçelievler,1+1,13.000 TL
Gölhisar,1+1,15.000 TL
Merkez / Bahçelievler,1+1,15.000 TL
Merkez / Bahçelievler,1+1,15.000 TL
Bucak / Merkez,2+2,15.000 TL
Merkez / Yenice,2+1,12.500 TL
Merkez / Bahçelievler,2+1,15.000 TL
Merkez / Yenice,1+1,15.000 TL
Bucak / Merkez,2+1,13.000 TL
Merkez / Bahçelievler,3+1,13.000 TL
Merkez / Sanayi,1+1,15.000 TL
Merkez / Bahçelievler,3+0,13.000 TL
Bucak / Merkez,2+1,12.500 TL
Merkez / Bahçelievler,2+1,15.000 TL
Merkez / Sanayi,2+1,15.000 TL
Bucak / Merkez,2+1,12.500 TL
Merkez / Sanayi,2+1,15.000 TL
Merkez / Yenice,2+1,15.000 TL
Bucak / Merkez,2+1,13.000 TL
Merkez / Bahçelievler,2+1,14.000 TL
Merkez / Bahçelievler,3+1,15.000 TL
Merkez / Bahçelievler,3+1,15.000 TL
Bucak / Merkez,3+1,15.000 TL
Merkez / Bahçelievler,2+0,13.000 TL
Merkez / Çeşmedamı,2+0,14.000 TL
Merkez / Bahçelievler,3+1,15.000 TL
Merkez / Bahçelievler,1+1,15.000 TL
Bucak / Merkez,3+1,13.000 TL
Merkez / Yenice,1+1,14.000 TL
Merkez / Bahçelievler,1+1,15.000 TL
Merkez / Çeşmedamı,3+1,14.000 TL
Merkez / Bahçelievler,1+1,13.000 TL
Merkez / Bahçelievler,3+1,13.500 TL
Merkez / Yenice,1+1,15.000 TL
Merkez / Bahçelievler,2+1,14.000 TL
Merkez / Sanayi,2+1,13.000 TL
Merkez / Bahçelievler,2+0,14.000 TL
Merkez / Bahçelievler,1+1,14.000 TL
Merkez / Yenice,3+1,13.000 TL
Merkez / Bahçelievler,1+1,12.500 TL
Bucak / Merkez,2+0,14.500 TL
Merkez / Yenice,2+1,14.000 TL
Merkez / Yenice,1+1,15.000 TL
Merkez / Sanayi,2+1,13.000 TL
Merkez / Bahçelievler,1+1,14.000 TL
Bucak / Merkez,3+1,15.000 TL
Merkez / Bahçelievler,2+1,13.000 TL
Merkez / Bahçelievler,3+1,14.000 TL
Bucak / Merkez,3+1,13.000 TL
Bucak / Merkez,3+1,14.000 TL
Merkez / Bahçelievler,2+0,13.500 TL
Merkez / Bahçelievler,3+1,15.000 TL
Merkez / Bahçelievler,1+1,13.000 TL
Merkez / Yenice,2+1,15.000 TL
Merkez / Sanayi,1+1,12.500 TL
Merkez / Bahçelievler,2+1,14.000 TL
Merkez / Bahçelievler,2+0,15.000 TL
Merkez / Bahçelievler,2+1,14.000 TL
Merkez / Bahçelievler,2+0,13.000 TL
Merkez / Bahçelievler,2+0,14.000 TL
Merkez / Sanayi,2+1,15.000 TL
Merkez / Bahçelievler,1+1,13.000 TL
Bucak / Merkez,3+1,13.000 TL
Bucak / Merkez,2+1,13.500 TL
Merkez / Sanayi,3+1,15.000 TL
Merkez / Çeşmedamı,2+0,13.000 TL
Merkez / Yenice,1+1,13.000 TL
Bucak / Merkez,1+1,15.000 TL
Merkez / Bahçelievler,1+1,13.400 TL
Merkez / Yenice,1+1,14.000 TL
Merkez / Bahçelievler,1+1,13.000 TL
Merkez / Bahçelievler,2+1,15.000 TL
Bucak / Merkez,1+1,13.250 TL
Merkez / Yenice,2+0,13.000 TL
Bucak / Merkez,2+1,13.000 TL
Bucak / Merkez,2+1,15.000 TL
Merkez / Çeşmedamı,1+1,14.500 TL
Bucak / Merkez,2+1,14.000 TL
Merkez / Bahçelievler,3+1,13.000 TL
Merkez / Bahçelievler,1+1,13.500 TL
Merkez / Bahçelievler,1+1,12.500 TL
Merkez / Bahçelievler,1+1,14.000 TL
Merkez / Bahçelievler,2+1,15.000 TL
Merkez / Yenice,1+1,13.000 TL
Bucak / Merkez,2+1,15.000 TL
Merkez / Bahçelievler,2+0,14.000 TL
Merkez / Bahçelievler,2+1,13.000 TL
Merkez / Çeşmedamı,3+1,12.500 TL
Bucak / Merkez,2+1,15.000 TL
Merkez / Bahçelievler,1+1,14.000 TL
Merkez / Yenice,1+1,13.500 TL
Merkez / Sanayi,1+1,14.000 TL
Gölhisar,1+1,13.000 TL
Merkez / Bahçelievler,1+1,13.000 TL
Merkez / Sanayi,2+1,15.000 TL
Merkez / Yenice,2+1,15.000 TL
Merkez / Yenice,2+1,15.000 TL
Merkez / Çeşmedamı,2+0,13.500 TL
Merkez / Yenice,3+1,14.500 TL
Gölhisar,2+1,15.000 TL
Merkez / Yenice,1+1,12.250 TL
Merkez / Bahçelievler,2+1,15.000 TL
Merkez / Yenice,2+0,15.000 TL
Bucak / Merkez,1+1,13.000 TL
Merkez / Bahçelievler,1+1,14.000 TL
Merkez / Yenice,1+1,13.000 TL
Merkez / Bahçelievler,1+1,15.000 TL
Merkez / Bahçelievler,2+1,15.000 TL
Merkez / Bahçelievler,2+1,14.000 TL
Merkez / Bahçelievler,1+1,13.000 TL
Merkez / Bahçelievler,1+1,15.000 TL
Merkez / Bahçelievler,1+1,14.000 TL
Merkez / Bahçelievler,1+1,12.500 TL
Gölhisar,1+1,14.000 TL
Gölhisar,1+1,14.000 TL
Merkez / Bahçelievler,1+1,14.000 TL
Merkez / Bahçelievler,1+1,13.000 TL
Merkez / Yenice,3+1,13.000 TL
Merkez / Bahçelievler,1+1,13.000 TL
Merkez / Bahçelievler,2+1,15.000 TL
Merkez / Bahçelievler,3+1,13.500 TL
Merkez / Çeşmedamı,3+1,15.000 TL
Merkez / Bahçelievler,1+1,12.500 TL
Merkez / Çeşmedamı,4+1,13.000 TL
Bucak / Merkez,1+1,15.000 TL
Bucak / Merkez,1+1,15.000 TL
Merkez / Yenice,2+1,15.000 TL
Merkez / Bahçelievler,1+1,15.000 TL
Merkez / Bahçelievler,2+0,13.500 TL
Merkez / Bahçelievler,1+1,12.500 TL
Merkez / Yenice,2+0,13.000 TL
Bucak / Merkez,2+1,12.500 TL
Merkez / Bahçelievler,2+1,15.000 TL
Bucak / Merkez,3+1,15.000 TL
Merkez / Bahçelievler,1+1,13.000 TL
Merkez / Bahçelievler,2+0,15.000 TL
Merkez / Bahçelievler,1+1,12.500 TL
Bucak / Merkez,1+1,13.000 TL
Merkez / Bahçelievler,2+1,12.500 TL
Bucak / Merkez,2+1,15.000 TL
Bucak / Merkez,2+0,15.000 TL
Merkez / Bahçelievler,2+0,15.000 TL
Bucak / Merkez,2+0,14.000 TL
Merkez / Yenice,3+1,13.000 TL
Merkez / Bahçelievler,3+1,14.000 TL
Merkez / Bahçelievler,2+1,15.000 TL
Merkez / Yenice,1+1,14.000 TL
Bucak / Merkez,2+1,13.000 TL
Merkez / Bahçelievler,1+1,13.000 TL
Merkez / Bahçelievler,1+1,13.000 TL
Merkez / Yenice,1+1,15.000 TL
Merkez / Sanayi,3+1,15.000 TL
Merkez / Bahçelievler,2+0,13.500 TL
Merkez / Bahçelievler,2+1,15.000 TL
Merkez / Bahçelievler,2+1,16.000 TL
Merkez / Bahçelievler,2+1,16.500 TL
Merkez / Bahçelievler,1+1,15.500 TL
Merkez / Bahçelievler,3+1,18.000 TL
Merkez / Bahçelievler,2+1,17.000 TL
Merkez / Bahçelievler,2+0,16.000 TL
Bucak / Merkez,3+1,17.500 TL
Merkez / Bahçelievler,1+1,17.000 TL
Merkez / Bahçelievler,1+1,18.000 TL
Merkez / Bahçelievler,2+1,18.000 TL
Merkez / Çeşmedamı,2+1,16.000 TL
Merkez / Yenice,1+1,17.000 TL
Merkez / Bahçelievler,1+1,16.000 TL
Merkez / Bahçelievler,3+1,17.000 TL
Merkez / Bahçelievler,3+1,16.000 TL
Merkez / Yenice,1+1,18.000 TL
Merkez / Sanayi,3+1,16.500 TL
Merkez / Çeşmedamı,1+1,15.450 TL
Merkez / Yenice,4+1,18.000 TL
Merkez / Bahçelievler,2+1,17.500 TL
Merkez / Bahçelievler,1+1,16.500 TL
Merkez / Yenice,2+1,17.000 TL
Merkez / Çeşmedamı,1+1,18.000 TL
Tefenni,3+1,18.000 TL
Merkez / Bahçelievler,1+1,18.000 TL
Merkez / Bahçelievler,2+1,16.000 TL
Bucak / Merkez,2+0,18.000 TL
Merkez / Bahçelievler,3+1,15.500 TL
Merkez / Bahçelievler,2+1,17.500 TL
Bucak / Merkez,1+1,17.000 TL
Merkez / Bahçelievler,2+1,18.000 TL
Merkez / Yenice,1+1,18.000 TL
Merkez / Yenice,1+1,18.000 TL
Merkez / Bahçelievler,1+1,18.000 TL
Merkez / Yenice,3+1,16.000 TL
Yeşilova,3+1,15.250 TL
Merkez / Yenice,1+1,18.000 TL
Merkez / Bahçelievler,2+0,16.000 TL
Merkez / Yenice,3+1,16.000 TL
Gölhisar,2+1,15.500 TL
Merkez / Yenice,1+1,18.000 TL
Merkez / Yenice,1+1,18.000 TL
Merkez / Yenice,1+1,16.000 TL
Merkez / Bahçelievler,1+1,16.000 TL
Merkez / Yenice,1+1,18.000 TL
Merkez / Yenice,2+1,16.000 TL
Merkez / Bahçelievler,1+1,18.000 TL
Merkez / Bahçelievler,2+0,17.500 TL
Merkez / Bahçelievler,1+1,16.500 TL
Merkez / Bahçelievler,3+1,16.500 TL
Merkez / Yenice,2+1,18.000 TL
Bucak / Merkez,2+1,17.500 TL
Merkez / Bahçelievler,3+1,18.000 TL
Merkez / Bahçelievler,1+1,16.000 TL
Bucak / Merkez,2+1,17.500 TL
Merkez / Bahçelievler,2+0,18.000 TL
Merkez / Bahçelievler,1+1,16.000 TL
Merkez / Bahçelievler,2+0,17.500 TL
Merkez / Yenice,3+1,18.000 TL
Merkez / Yenice,1+1,17.000 TL
Merkez / Bahçelievler,2+1,16.000 TL
Gölhisar,1+1,17.000 TL
Merkez / Bahçelievler,2+0,17.750 TL
Merkez / Bahçelievler,1+1,16.000 TL
Merkez / Bahçelievler,1+1,16.500 TL
Merkez / Yenice,1+1,15.500 TL
Bucak / Merkez,3+1,17.000 TL
Merkez / Yenice,3+1,18.000 TL
Merkez / Bahçelievler,3+1,18.000 TL
Merkez / Yenice,2+1,16.000 TL
Merkez / Bahçelievler,3+1,18.000 TL
Merkez / Yenice,2+0,15.500 TL
Bucak / Merkez,2+0,16.250 TL
Merkez / Yenice,2+0,18.000 TL
Gölhisar,1+1,15.500 TL
Gölhisar,1+1,15.500 TL
Gölhisar,2+1,16.000 TL
Merkez / Bahçelievler,3+1,18.000 TL
Merkez / Çeşmedamı,2+1,17.000 TL
Bucak / Merkez,1+1,15.200 TL
Bucak / Merkez,3+1,16.000 TL
Bucak / Merkez,1+1,16.500 TL
Bucak / Merkez,2+1,18.000 TL
Merkez / Bahçelievler,2+1,17.000 TL
Merkez / Bahçelievler,3+1,16.000 TL
Bucak / Merkez,3+1,16.000 TL
Merkez / Yenice,3+1,21.000 TL
Merkez / Bahçelievler,1+1,20.000 TL
Merkez / Bahçelievler,3+1,19.000 TL
Bucak / Merkez,3+1,22.000 TL
Merkez / Bahçelievler,1+1,19.000 TL
Bucak / Merkez,3+1,20.000 TL
Merkez / Bahçelievler,2+1,20.000 TL
Bucak / Merkez,3+1,21.000 TL
Bucak / Merkez,2+1,19.750 TL
Merkez / Sanayi,3+1,19.000 TL
Merkez / Bahçelievler,2+1,21.000 TL
Merkez / Yenice,1+1,19.000 TL
Merkez / Bahçelievler,2+1,21.000 TL
Merkez / Sanayi,1+1,22.000 TL
Bucak / Merkez,2+1,18.500 TL
Merkez / Yenice,3+1,19.500 TL
Merkez / Yenice,1+1,20.000 TL
Merkez / Bahçelievler,3+1,20.000 TL
Merkez / Yenice,3+1,19.500 TL
Merkez / Bahçelievler,2+1,22.000 TL
Merkez / Bahçelievler,2+1,22.000 TL
Merkez / Sanayi,2+1,19.000 TL
Bucak / Merkez,2+1,19.000 TL
Bucak / Merkez,3+1,22.000 TL
Bucak / Merkez,1+1,18.500 TL
Merkez / Bahçelievler,3+1,20.000 TL
Merkez / Bahçelievler,1+1,20.000 TL
Merkez / Bahçelievler,2+1,19.500 TL
Bucak / Merkez,2+1,20.000 TL
Merkez / Bahçelievler,3+1,20.000 TL
Merkez / Bahçelievler,2+1,21.000 TL
Merkez / Bahçelievler,2+1,20.000 TL
Gölhisar,2+1,20.000 TL
Merkez / Bahçelievler,3+1,20.000 TL
Merkez / Çeşmedamı,3+1,20.000 TL
Merkez / Bahçelievler,2+1,18.500 TL
Merkez / Bahçelievler,3+1,20.000 TL
Merkez / Bahçelievler,2+1,20.000 TL
Merkez / Bahçelievler,2+1,20.500 TL
Merkez / Bahçelievler,3+1,20.000 TL
Merkez / Bahçelievler,3+1,19.000 TL
Bucak / Merkez,1+1,19.000 TL
Gölhisar,3+1,20.000 TL
Bucak / Merkez,1+1,18.500 TL
Bucak / Merkez,3+1,20.000 TL
Bucak / Merkez,2+1,20.000 TL
Merkez / Yenice,2+1,20.000 TL
Merkez / Bahçelievler,3+1,25.000 TL
Merkez / Bahçelievler,1+1,25.000 TL
Bucak / Merkez,3+1,28.000 TL
Merkez / Çeşmedamı,2+1,25.000 TL
Merkez / Bahçelievler,2+1,24.000 TL
Merkez / Bahçelievler,2+1,26.000 TL
Merkez / Sanayi,3+1,26.000 TL
Merkez / Sanayi,3+1,28.000 TL
Merkez / Bahçelievler,3+1,28.000 TL
Merkez / Bahçelievler,2+1,25.000 TL
Merkez / Bahçelievler,3+1,26.000 TL
Merkez / Bahçelievler,3+1,28.000 TL
Merkez / Bahçelievler,3+1,24.500 TL
Merkez / Bahçelievler,3+1,22.500 TL
Merkez / Bahçelievler,3+1,23.000 TL
Merkez / Bahçelievler,3+1,25.000 TL
Merkez / Sanayi,3+1,26.000 TL
Merkez / Bahçelievler,3+1,26.000 TL
Merkez / Bahçelievler,4+1,26.000 TL
Merkez / Bahçelievler,3+1,27.000 TL
Merkez / Bahçelievler,3+1,25.000 TL
Merkez / Bahçelievler,5+1,28.000 TL
Merkez / Bahçelievler,2.5+1,25.000 TL
Bucak / Merkez,3+1,25.000 TL
Merkez / Bahçelievler,3+1,28.000 TL
Merkez / Bahçelievler,3+1,25.000 TL
Bucak / Merkez,2+1,23.000 TL
Merkez / Bahçelievler,4+1,27.000 TL
Merkez / Bahçelievler,3+1,26.000 TL
Merkez / Bahçelievler,2+1,25.000 TL
Merkez / Bahçelievler,3+1,26.000 TL
Merkez / Bahçelievler,3+1,25.000 TL
Merkez / Bahçelievler,2+1,24.500 TL
Merkez / Bahçelievler,3+1,25.000 TL
Merkez / Çeşmedamı,2+1,28.000 TL
Merkez / Bahçelievler,2+1,27.000 TL
Merkez / Bahçelievler,3+1,25.000 TL
Merkez / Bahçelievler,3+1,24.000 TL
Merkez / Çeşmedamı,3+1,25.000 TL
Bucak / Merkez,3+1,25.000 TL
Merkez / Bahçelievler,2+1,27.000 TL
Merkez / Bahçelievler,3+1,25.000 TL
Merkez / Yenice,2+1,25.000 TL
Yeşilova,3+1,25.000 TL
Bucak / Merkez,3+1,30.000 TL
Merkez / Bahçelievler,4+1,35.000 TL
Merkez / Sanayi,3+1,35.000 TL
Merkez / Sanayi,3+1,35.000 TL
Merkez / Bahçelievler,4+1,35.000 TL
Merkez / Sanayi,3+1,35.000 TL
Gölhisar,4+1,30.000 TL
Bucak / Merkez,4+1,30.000 TL
Merkez / Yenice,5+1,80.000 TL
Merkez / Yenice,4+1,40.000 TL
Merkez / Bahçelievler,3+1,36.000 TL
